,IDcode,Name,T,WT,Oth. T.,Fed,Rtg,Rpd,Blz,B-Year,S,F,Title
0,5813298," Lim, Kok Ann", CM, , ,SGP, , , ,1920,M, ,"['Candidate Master (CM)', '2012']"
1,4611870," Keller-Hermann, Edith", WGM, WGM, ,GER,2290 , , ,1921,F,i,"['Woman Grandmaster (WGM)', '1978', 'Woman International Master (WIM)', '1950']"
2,2002310," Levy, Louis", FM, , ,USA,2275 , , ,1921,M,i,[]
3,14100657," Ousatchi, Mark", FM, , ,GER,2157 , , ,1921,M,i,[]
4,4101529," Averbakh, Yuri L", GM, , ,RUS,2445 , , ,1922,M,i,"['Grandmaster (GM)', '1952', 'International Master (IM)', '1951']"
5,4103424," Khasin, Abram", IM, , ,RUS,2318 , , ,1923,M,i,[]
6,4128575," Kukharev, Nikolay", FM, , ,RUS,2214 , , ,1923,M,i,[]
7,1602470," Nowotny, Heinz", FM, , ,AUT,2255 , , ,1923,M,i,[]
8,4101499," Vatnikov, Josif E", IM, , ,RUS,2316 , , ,1923,M,i,"['International Master (IM)', '1977']"
9,5500028," Belkadi, Ridha", IM, , ,TUN,2345 , , ,1925,M,i,"['International Master (IM)', '1974']"
10,100510," De La Vega, Hector", FM, , ,ARG,2365 , , ,1926,M,i,[]
11,302538," Eretova, Kveta", WGM, WGM, ,CZE,2104 , , ,1926,F,i,"['Woman Grandmaster (WGM)', '1986', 'Woman International Master (WIM)', '1957']"
12,1602101," Waller, Helmut", FM, , ,AUT,1879 , , ,1926,M,i,[]
13,1600168," Dueckstein, Andreas", IM, , ,AUT,2065 , 2192 , ,1927,M,i,[]
14,4104854," Rutman, Aleksandr", FM, , ,RUS,2056 , 2054 , ,1927,M,i,[]
15,4180712," Zemliakov, Valentin", FM, , ,RUS,2073 , , ,1927,M,i,[]
16,4124294," Gusjkov, Yuri P.", FM, , ,RUS,2246 , , ,1928,M,i,[]
17,1104519," Litmanowicz, Miroslawa", WIM, WIM, ,POL,2140 , , ,1928,F,i,"['Woman International Master (WIM)', '1967']"
18,4136926," Vagner, Grigorij", FM, , ,RUS,1787 , 1760 , 1874 ,1928,M,i,[]
19,1001710," Vreeken, Corry", WH, WH, ,NED,2080 , , ,1928,F,i,[]
20,1000187," Bouwmeester, Hans", IM, , ,NED,2343 , , ,1929,M,i,"['International Master (IM)', '1954']"
21,4602536," Hoffmann, Hans", FM, , ,GER,2120 , , ,1929,M,i,[]
22,909807," Nedeljkovic, Verica", WGM, WGM, ,SRB,2215 , , ,1929,F,i,"['Woman Grandmaster (WGM)', '1978', 'Woman International Master (WIM)', '1954']"
23,3900037," Sanchez Pouso, Celso Estanislao", FM, , ,VEN,2318 , , ,1929,M,i,"['FIDE Master (FM)', '2014']"
24,4168372," Shevtsov, Pavel", FM, , ,RUS,2081 , , ,1929,M,i,[]
25,4133722," Trinos, Viacheslav", FM, , ,RUS, , , ,1929,M, ,"['FIDE Master (FM)', '2004']"
26,4149289," Trotsenko, Evgenia", WFM, WFM, ,RUS,1937 , 1909 , 1840 ,1929,F,i,[]
27,901601," Basta, Dane", FM, , ,SRB,2209 , , ,1930,M,i,[]
28,4135806," Brants, Efim", FM, , ,RUS,2287 , , 2208 ,1930,M,i,[]
29,4600835," Heil, Siegfried", FM, , ,GER,2341 , , ,1930,M,i,[]
30,908843," Ivkovic, Dusan", FM, , ,SRB,2234 , , ,1930,M,i,[]
31,2001292," Kaminsky, Oleg", FM, , ,USA,2333 , , ,1930,M,i,[]
32,4100565," Krogius, Nikolai V", GM, , ,RUS,2485 , , ,1930,M,i,"['Grandmaster (GM)', '1964', 'International Master (IM)', '1963']"
33,4128796," Kuznetzov, Adolf", FM, , ,RUS,2350 , , ,1930,M,i,[]
34,900230," Matanovic, Aleksandar", GM, , ,SRB,2490 , , ,1930,M,i,"['Grandmaster (GM)', '1955', 'International Master (IM)', '1951']"
35,908991," Petrovic, Petar", FM, , ,SRB,1927 , 1854 , 1797 ,1930,M, ,"['FIDE Master (FM)', '1985']"
36,4601670," Soos, Bela", IM, , ,GER,2281 , , ,1930,M,i,"['International Master (IM)', '1967']"
37,3900096," Tapaszto Binet, Laszlo", CM, , ,VEN,2077 , , 2156 ,1930,M,i,"['Candidate Master (CM)', '2014']"
38,4125843," Toprover, Viktor G.", FM, , ,RUS,2275 , , ,1930,M,i,[]
